VALMIN,VALMAX,VALCENTER,COUNTS,ERROR
0,25,12.5,182,13.4907
25,50,37.5,176,13.2665
50,75,62.5,172,13.1149
75,100,87.5,186,13.6382
100,125,112.5,138,11.7473
125,150,137.5,178,13.3417
150,175,162.5,161,12.6886
175,200,187.5,168,12.9615
200,225,212.5,177,13.3041
225,250,237.5,178,13.3417
250,275,262.5,193,13.8924
275,300,287.5,172,13.1149
300,325,312.5,166,12.8841
325,350,337.5,156,12.49
350,375,362.5,178,13.3417
375,400,387.5,178,13.3417
400,425,412.5,182,13.4907
425,450,437.5,182,13.4907
450,475,462.5,179,13.3791
475,500,487.5,181,13.4536
500,525,512.5,160,12.6491
525,550,537.5,151,12.2882
550,575,562.5,199,14.1067
575,600,587.5,175,13.2288
600,625,612.5,178,13.3417
625,650,637.5,176,13.2665
650,675,662.5,177,13.3041
675,700,687.5,165,12.8452
700,725,712.5,173,13.1529
725,750,737.5,146,12.083
750,775,762.5,187,13.6748
775,800,787.5,172,13.1149
800,825,812.5,180,13.4164
825,850,837.5,169,13.0
850,875,862.5,177,13.3041
875,900,887.5,165,12.8452
900,925,912.5,207,14.3875
925,950,937.5,193,13.8924
950,975,962.5,181,13.4536
975,1000,987.5,169,13.0
1000,1025,1012.5,190,13.784
1025,1050,1037.5,179,13.3791
1050,1075,1062.5,163,12.7671
1075,1100,1087.5,162,12.7279
1100,1125,1112.5,172,13.1149
1125,1150,1137.5,175,13.2288
1150,1175,1162.5,201,14.1774
1175,1200,1187.5,182,13.4907
1200,1225,1212.5,189,13.7477
1225,1250,1237.5,145,12.0416
1250,1275,1262.5,162,12.7279
1275,1300,1287.5,155,12.4499
1300,1325,1312.5,199,14.1067
1325,1350,1337.5,144,12.0
1350,1375,1362.5,188,13.7113
1375,1400,1387.5,162,12.7279
1400,1425,1412.5,165,12.8452
1425,1450,1437.5,182,13.4907
1450,1475,1462.5,194,13.9284
1475,1500,1487.5,186,13.6382
1500,1525,1512.5,183,13.5277
1525,1550,1537.5,167,12.9228
1550,1575,1562.5,159,12.6095
1575,1600,1587.5,165,12.8452
1600,1625,1612.5,182,13.4907
1625,1650,1637.5,182,13.4907
1650,1675,1662.5,159,12.6095
1675,1700,1687.5,167,12.9228
1700,1725,1712.5,187,13.6748
1725,1750,1737.5,196,14.0
1750,1775,1762.5,173,13.1529
1775,1800,1787.5,163,12.7671
1800,1825,1812.5,150,12.2474
1825,1850,1837.5,173,13.1529
1850,1875,1862.5,164,12.8062
1875,1900,1887.5,176,13.2665
1900,1925,1912.5,167,12.9228
1925,1950,1937.5,178,13.3417
1950,1975,1962.5,166,12.8841
1975,2000,1987.5,170,13.0384
2000,2025,2012.5,155,12.4499
2025,2050,2037.5,180,13.4164
2050,2075,2062.5,204,14.2829
2075,2100,2087.5,163,12.7671
2100,2125,2112.5,166,12.8841
2125,2150,2137.5,164,12.8062
2150,2175,2162.5,153,12.3693
2175,2200,2187.5,189,13.7477
2200,2225,2212.5,200,14.1421
2225,2250,2237.5,175,13.2288
2250,2275,2262.5,179,13.3791
2275,2300,2287.5,158,12.5698
2300,2325,2312.5,166,12.8841
2325,2350,2337.5,160,12.6491
2350,2375,2362.5,171,13.0767
2375,2400,2387.5,186,13.6382
2400,2425,2412.5,169,13.0
2425,2450,2437.5,188,13.7113
2450,2475,2462.5,177,13.3041
2475,2500,2487.5,185,13.6015
2500,2525,2512.5,168,12.9615
2525,2550,2537.5,184,13.5647
2550,2575,2562.5,175,13.2288
2575,2600,2587.5,171,13.0767
2600,2625,2612.5,160,12.6491
2625,2650,2637.5,170,13.0384
2650,2675,2662.5,182,13.4907
2675,2700,2687.5,161,12.6886
2700,2725,2712.5,185,13.6015
2725,2750,2737.5,163,12.7671
2750,2775,2762.5,189,13.7477
2775,2800,2787.5,163,12.7671
2800,2825,2812.5,192,13.8564
2825,2850,2837.5,172,13.1149
2850,2875,2862.5,179,13.3791
2875,2900,2887.5,178,13.3417
2900,2925,2912.5,176,13.2665
2925,2950,2937.5,167,12.9228
2950,2975,2962.5,188,13.7113
2975,3000,2987.5,155,12.4499
3000,3025,3012.5,168,12.9615
3025,3050,3037.5,179,13.3791
3050,3075,3062.5,171,13.0767
3075,3100,3087.5,164,12.8062
3100,3125,3112.5,168,12.9615
3125,3150,3137.5,175,13.2288
3150,3175,3162.5,157,12.53
3175,3200,3187.5,171,13.0767
3200,3225,3212.5,183,13.5277
3225,3250,3237.5,168,12.9615
3250,3275,3262.5,175,13.2288
3275,3300,3287.5,203,14.2478
3300,3325,3312.5,157,12.53
3325,3350,3337.5,173,13.1529
3350,3375,3362.5,154,12.4097
3375,3400,3387.5,170,13.0384
3400,3425,3412.5,160,12.6491
3425,3450,3437.5,176,13.2665
3450,3475,3462.5,185,13.6015
3475,3500,3487.5,157,12.53
3500,3525,3512.5,147,12.1244
3525,3550,3537.5,191,13.8203
3550,3575,3562.5,184,13.5647
3575,3600,3587.5,170,13.0384
